,Ticker,Price (CAD),Currency,Shares,Value,Weight
1,IBM,212.5190015782066,USD,705.7959471205312,150000.0,20.0
2,PPL.TO,45.0099983215332,CAD,3332.4829058756254,150000.0,20.0
3,TD.TO,83.3499984741211,CAD,269.88662761624846,22500.0,3.0
4,CNR.TO,157.24000549316406,CAD,143.06187493091866,22500.0,3.0
5,GWO.TO,43.09868621826172,CAD,521.9428241055855,22500.0,3.0
6,CNI,157.9307407775643,USD,142.43617100285047,22500.0,3.0
7,BMO.TO,110.33000183105469,CAD,203.88878479714026,22500.0,3.0
8,COST,809.8675060694917,USD,27.776210097840107,22500.0,3.0
9,AAPL,260.1639186411391,USD,86.46491072818162,22500.0,3.0
10,T.TO,24.059999465942383,CAD,934.9563798553855,22500.0,3.0
11,SO,95.33089655751132,USD,235.96809441972636,22500.0,3.0
12,BK,64.8458234011781,USD,346.90052219448444,22500.0,3.0
13,GOOG,189.2922931046558,USD,118.83764326085347,22500.0,3.0
14,CMCSA,58.31331294904892,USD,385.7618245709171,22500.0,3.0
15,ORCL,159.2043762051437,USD,141.2966812609088,22500.0,3.0
16,SPG,165.49037623746858,USD,135.92965652408074,22500.0,3.0
17,ABBV,189.90856392993854,USD,118.45200413552135,22500.0,3.0
18,VZ,51.23299517885389,USD,439.0734900715837,22500.0,3.0
19,CSCO,66.22902133721624,USD,339.65547951346974,22500.0,3.0
20,CVS,95.07068821203573,USD,236.6139387760546,22500.0,3.0
21,OTEX.TO,53.29999923706055,CAD,422.04597227008486,22500.0,3.0
22,SU.TO,44.650001525878906,CAD,503.80849342103573,22500.0,3.0
